komentar,label
waalaikumsalam warahmatullahi wabarakatuh ikhwan fillah rahimakumullah,bukan_cyberbullying
gila sendiri mabok,pelecehan_penghinaan
kasian baru lahir membawa dosa tapi setelah dewasa justru merasa dosa telah tebus terus ngapain lagi gereja pakai bayar perpuluhan,ujaran_kebencian
orang ini tidak pakai akal,pelecehan_penghinaan
enak bangat oten ini dosa tebus kasihan yesus,ujaran_kebencian
memang betul dikatakan orang tua dulu saya islam saya paham kata masuk logika saya,bukan_cyberbullying
dasar bodoh saya tidak paham tidak masuk logika saya,pelecehan_penghinaan
mungkin alami saudara,bukan_cyberbullying
waalahuaalam bissawaff,bukan_cyberbullying
islam dasar dalil kristen dasar djjal,ujaran_kebencian
orang minum tuak pantasan tidak tangkap dalam pikiran nya,pelecehan_penghinaan
dosa koq di tebus dimana tempat penggadaian dosa rupanya,ujaran_kebencian
pakai apa nebusnya itu umat kristen,ujaran_kebencian
yg disalib saja tidak pernah mengajarkan agama kristen bgm dia menebus dosa umat kristen ya,ujaran_kebencian
hai manusia dosa yang sangat besar menuhankan anak manusia camkan saudatara,ujaran_kebencian
dasar bahlul dasara bodoh tanggung sendiri,pelecehan_penghinaan
agak masuk akal kalau yesus penebus penebus dosa orang orang terdahulu tapi kalau orang orang setelah penyalipan rasanya tidak masuk akal,ujaran_kebencian
oten tidak perlu korban kerna merekalah korban itu,ujaran_kebencian
kasihan orangnya nya nangis ngomong nya juga terbata bata huhuhu kacian deh luh,pelecehan_penghinaan
assalamualaikum bang salam kenal dari oku timur sumsel,bukan_cyberbullying
asmkm bang zumaa bagaimana debat nya kalo dengan si gufron,bukan_cyberbullying
solo hadir bang,bukan_cyberbullying
ini mah orang gila caranya emang rada tidak sopan lama lama masuk jurang,pelecehan_penghinaan
lok dosa dah ditebus tidak ada hukum tidak ada aparat,ujaran_kebencian
kalok dosakita udah ditebus oleh yesos ayo kita melakukan apasaja bebas karena dosakita sudah ditebus hh,ujaran_kebencian
pb alias perjanjian iblis atau pengajaran iblis,ujaran_kebencian
argumen orang ini sangat tidak masuk akal tidak becus,pelecehan_penghinaan
orang teler saya tidak mau lah akal sehat dong dipakai jangan taruh di dengkul,pelecehan_penghinaan
asslkm wrwb parakan panjang kb subang hadir,bukan_cyberbullying
kok seperti lslam kristen berdosa lalu bertaubat katanya ada penebusnya,ujaran_kebencian
assalamualaikum depok hadiir,bukan_cyberbullying
logika ya kalau tidak ada nabi adam maka yesus pun tidak ada,ujaran_kebencian
dosa adam dan hawa sudah selesai pada waktu itu anak keturunan adam lahir suci tidak berdosa,ujaran_kebencian
yg bnr cb cek di data pemerintah bny yg mualap apa yg murtad,ujaran_kebencian
apa apaan oten ini dosa apa yang diwarisi kan ada dalil dosa nabi adam telah diampuni setelah bertaubat,ujaran_kebencian
gila ini orang jangan ikut debat woy botol betul ini orang,pelecehan_penghinaan
wah2 ini orang gila ini,pelecehan_penghinaan
assalamualaikum wa rahmatullahi wa barakatuhu,bukan_cyberbullying
dia yg ngarang sendiri dia yg bingung itu bodoh,pelecehan_penghinaan
yang mengajarkan dosa waris ibelisis paman,ujaran_kebencian
1 14 58 dia org baik org baik takkan menuhankan manusia,ujaran_kebencian
pak pendeta ini menggabungkan ajaran yesus anak maria dan ajaran si paulus nabi palsu makanya kontrdiksi,ujaran_kebencian
napa penjelasanya jd beleng beleng ini orang,pelecehan_penghinaan
47 18 agama dajjal emang bayi yg suci itu ada dosanya terkutuk lha kaum penyembah roh jd dlm pemahaman kaum laknat ini bayi yg meninggal auto msk neraka karna ada dosa dari nabi adam berbanding terbalik dgn islam bayi yg meninggal auto masuk surga dan bakalan angkat ortunya auto msk surga sesat bener pola pikir umat penyembah roh ini dasar agama lucifer laknatullah,ujaran_kebencian
dosa waris adalah semua warisan disetor 10,bukan_cyberbullying
oulloh swt itu cuma tau bhw arab krn dia cuma penguasa negri mekah dan juga beragama islam,ujaran_kebencian
nas manusia,bukan_cyberbullying
salam 1 tuhan,bukan_cyberbullying
benar pendeta ini ajaran kafir,ujaran_kebencian
kristen bingung dengan konsep penebusan dosanya katanya pengikut yesus tapi semua ajaran yesus dibantah gila namanya,ujaran_kebencian
orang kristen mendapat dosa waris karena mereka mendapat kan ajaran dari orang tua nya yg keristen jadi mereka berebut dosa mengikuti dosa bapaknya jadi makin lama makin banyak dosa nya jadi di tetapkan mereka penghuni neraka kekal selama lamanya jika mereka meninggal kan dogma dan mau membaca alquran walaupun terjemahannya pasti mereka akan mengakui ajaran islam dan menjadi muallap yg membantah islam takut di benci umat kristen lainya sampai sampai mereka mau masuk neraka selama lamanya,ujaran_kebencian
gambar di hadapanmu adalah manusia tak bersalah yg di siksa tidak ibakah anda melihatnya,bukan_cyberbullying
yang waras tidak mungkin menuhankan manusia,ujaran_kebencian
banyak oknum berbuat semaunya karna ada penyebab menimbulkan rasa dendam selama ingat sejarah penjajahan,bukan_cyberbullying
maunya mikana itu gini loo ada tek urutan kaya tek pancasila atau yg lain mksdtnya sila1 sila 2sila3sila4gitu ya kayak biblosnya mikana gtu,bukan_cyberbullying
batu asli dapat terkikis dengan kelembutan jika hati yg lembut lalu menjadi batu tidak akan kembali menjadi lembut dan akan terus semakin keras membatu lepaskan dan hindarkan orang orang yang sudah melihat dan hati malah membatu,bukan_cyberbullying
yth zulkifli m abbas anda terlalu capek menyampaikan kebenaran kepada orang yang tidak mau menerima kebenaran memang sangat susah menyampaikan kepada lalat bahwa bunga itu lebih baik dari pada kotoran lalat akan tetap memilih kotoran dari pada bunga,pelecehan_penghinaan
mikhana otak nya didengkul,pelecehan_penghinaan
assalamualaikum warahmatullahi wabarakatuh om zuma,bukan_cyberbullying
mikana umat paulus bukan umat yesus,ujaran_kebencian
mikanah blm tau jalurya,bukan_cyberbullying
misalnya mikana pergi melancong ke luar negeri terutama negara yahudi israil harus pasti muka dan keluarganya mikana di maki dan di ludahi oleh orang2 yahudi sekiranya yahudi tau kedatangan mikana itu agamanya kafir kerustian pasti di ludahi yahudi muka mikana,ujaran_kebencian
mikana ini manusia batu sudah jelas2 dipaparkan tuhan nya yakub ismail bla2 masi juga ngeyel kau mngkari kebenaran kau paham arti bahasa tapi kau pura2 tidak tau mau bukti tuhan duduk didepan mu bru kau sadar kau percaya kau melebihi orang fasik dan sombong,pelecehan_penghinaan
mikana mikana mikana bang zuma hebat iman islam slmt dunia akhirat aamiin,bukan_cyberbullying
mikana mah jauh dr hidayah kaya nya allah tidak pilih dia bang zuma biarkan saja dia,ujaran_kebencian
kelihatan sekali di sini cara bergikir mikana bego kebiasaan tidak pakai logika,pelecehan_penghinaan
mikana bertaubat lah kamu jangan kamu memakai hijab jika berdebat hanya untuk mengaburi ummat tanya2 ayat al quran pelajari dengan baik kalau biblenu karangan manusia isi biblenu karangan manusia,ujaran_kebencian
mikana sama edis sama hati nya udah mati kekal neraka di setting buat menghujat islam tanpa ilmu dan dalil yg penting gajian lancar hahahaa,ujaran_kebencian
mikana ni sesat peringkat kritikal bertaubatlah selagi umur masih ada jangan kau iman kristen itu benar kristen itu sesat sasesatsesatnya aku kasehan kau,ujaran_kebencian
mikana nanti kutukan allah swt menimpamu loh hati2,ancaman_intimidasi
kalau allah beri oten kutukannya kepada mikhana hatinya untuk tetap membantu cengengesan,ancaman_intimidasi
bertele tele sekali otak mikana ditutup sm awan,pelecehan_penghinaan
turunkan,bukan_cyberbullying
bodoh benar lah,pelecehan_penghinaan
mikana di dakwahi biar dapat hidayah yakan mik aamiin,bukan_cyberbullying
mekana udhlh agamamu smua penyembhnya akn jdi suluhnya neraka trsrah pilih agama yg mnuju jln kslmtan mau surga p neraka itu jwbannya,ujaran_kebencian
yg penting sama mikhna dapat plus aja kebenaran itu bohong aj itu kt ny kn mikhana br blt2 dia tidak sk sama nabi kita nabi muhamad pyh oten otak otak kotor hanya bisa menipu itu lh orang ny nama ny mikhana,pelecehan_penghinaan
bang kalau menjelaskan ke si mikhana jangan terlalu sulit dia mah tidak ngerti kasihan berkeringat untuk memahami nya daripada capek lebih baik yg simpel aja itu juga si mikhana bakal banyak nanya lagi karena sulit sampai ke otaknya padahal kita yg mendengarnya langsung ngerti dan faham apa yg dibacakan dan dijelaskan isi al quran tsb,pelecehan_penghinaan
perjanjian lama pakai bahasa ibrani yang asli dari yerusalem tapi kenapa diganti perjanjian baru yang bahasa yunani ini aneh kitab diganti diganti,bukan_cyberbullying
sebenarnya mikana orang cerdas tapi kecerdasan tidak buat berpikir yang terpenting ngomong lancar,pelecehan_penghinaan
sekarang mikana bingung menyebut tuhanya pakai nama allah swt disindir oleh umat muslim sekarang pakai sebutan ilohin padahal itu punyanya orang yahudi,ujaran_kebencian
izin hati hati si mikana akan menjerat bang zuma untuk terus dan terus menerangkan agar dia tidak di tanya oleh bang zuma akhir nya dia izin turun atau di turunkan setelah puas menanyakan dan tertawa di luar komal,pelecehan_penghinaan
mikana kau berwudhu dlu baru bisa paham anda selalu bilang tidak nyambung pdhal otaknya yg tidak terima apa yg dikatakan bang suma,pelecehan_penghinaan
mikana baiknya juga belajar al qur an seperti bang zuma belajar shgg nyambung bila diterangkan tidak usah mengikuti mikana bang zuma kejauhan ilmunya,bukan_cyberbullying
